,Test Data,Predicted Price,Difference,C
102,15.9,15.988688994891907,0.08868899489190696,1.0
103,15.9,15.900637099469712,0.0006370994697117993,0.0
104,12.0,11.988141336095698,0.011858663904302347,1.0
105,16.4,16.426197011769,0.0261970117689998,1.0
106,16.4,16.388039227981185,0.011960772018813515,1.0
107,16.7,16.708034636355304,0.00803463635530477,0.0
108,12.0,12.005669088599772,0.00566908859977211,0.0
109,16.2,16.24114582989704,0.04114582989704019,1.0
110,15.9,15.903917585834982,0.003917585834981807,0.0
111,10.9,10.92508488003382,0.0250848800338197,1.0
112,17.0,16.99438804681567,0.005611953184331497,0.0
113,12.0,12.143799871088202,0.14379987108820202,1.0
114,13.1,13.144151484428898,0.04415148442889816,1.0
115,13.1,13.242256416781157,0.14225641678115686,1.0
116,16.3,16.279268410047244,0.02073158995275648,1.0
117,10.9,10.924827621887891,0.024827621887890672,1.0
118,15.6,15.60288680141882,0.0028868014188194735,0.0
119,12.0,12.02064111174873,0.020641111748730623,1.0
120,16.2,16.249662428137313,0.0496624281373137,1.0
121,16.7,16.4895104062257,0.2104895937742981,1.0
122,16.4,16.415879991346063,0.01587999134606477,1.0
123,15.8,15.816537997188737,0.016537997188736497,1.0
124,17.0,16.99847324408281,0.0015267559171903144,0.0
125,10.9,10.935698253890692,0.03569825389069159,1.0
126,15.6,15.584773248419566,0.015226751580433628,1.0
127,16.7,16.706749542314004,0.006749542314004486,0.0
128,15.9,15.953946947515352,0.05394694751535134,1.0
129,15.9,15.908684228640736,0.00868422864073537,0.0
130,15.6,15.588864111461506,0.011135888538493788,1.0
131,15.9,16.394995442491425,0.49499544249142424,1.0
132,16.2,16.30687460508501,0.1068746050850109,1.0
133,13.1,13.079545925655477,0.02045407434452251,1.0
134,12.0,12.018315818090883,0.01831581809088334,1.0
135,11.0,11.008803765603043,0.008803765603042635,0.0
136,15.9,15.906840092364245,0.006840092364244654,0.0
137,12.0,11.9977386619741,0.002261338025899562,0.0
138,16.4,16.39747325279071,0.002526747209287805,0.0
139,12.0,11.998873197408717,0.0011268025912833934,0.0
140,16.7,16.68617256867852,0.013827431321480788,1.0
141,10.9,10.922208075004123,0.022208075004122918,1.0
142,12.0,11.960310065836676,0.03968993416332367,1.0
143,12.0,12.04281759184151,0.04281759184151035,1.0
144,13.1,13.093727662903971,0.00627233709602848,0.0
145,15.9,15.911237407832825,0.011237407832824786,1.0
146,16.3,16.276880224722643,0.0231197752773582,1.0
147,16.4,16.38431544673665,0.015684553263348278,1.0
148,14.8,14.80302189525242,0.003021895252420137,0.0
149,15.8,15.79220641302637,0.0077935869736300845,0.0
150,16.8,16.833030068090096,0.033030068090095455,1.0
151,16.7,16.70467997950635,0.004679979506349241,0.0
152,12.0,12.066867298361162,0.06686729836116179,1.0
153,15.9,15.985755889396414,0.08575588939641321,1.0
154,16.7,16.697151558738494,0.002848441261505741,0.0
155,15.8,15.78124182661278,0.018758173387221078,1.0
